Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,Notification Enabled,Sound Notification Enabled,Notification Is Repeatable,Delay Before Repeating,Subscribing Offset,Notification Sound
ESH6.CME@RITHMIC,6985,mHVN,#ffffff,#da611e,left,,,,,,
ESH6.CME@RITHMIC,6978,mHVN,#ffffff,#da611e,left,,,,,,
ESH6.CME@RITHMIC,6935,mHVN,#ffffff,#da611e,left,,,,,,
ESH6.CME@RITHMIC,6926,mHVN,#ffffff,#da611e,left,,,,,,
ESH6.CME@RITHMIC,6913,mHVN,#ffffff,#da611e,left,,,,,,
ESH6.CME@RITHMIC,6883,mHVN,#ffffff,#da611e,left,,,,,,
ESH6.CME@RITHMIC,6863,mHVN,#ffffff,#da611e,left,,,,,,
ESH6.CME@RITHMIC,6840,mHVN,#ffffff,#da611e,left,,,,,,
ESH6.CME@RITHMIC,6839,mHVN,#ffffff,#da611e,left,,,,,,
ESH6.CME@RITHMIC,6828,mHVN,#ffffff,#da611e,left,,,,,,
ESH6.CME@RITHMIC,6817,mHVN,#ffffff,#da611e,left,,,,,,
ESH6.CME@RITHMIC,6800,mHVN,#ffffff,#da611e,left,,,,,,
ESH6.CME@RITHMIC,6789,mHVN,#ffffff,#da611e,left,,,,,,
ESH6.CME@RITHMIC,6772,mHVN,#ffffff,#da611e,left,,,,,,
ESH6.CME@RITHMIC,6768,mHVN,#ffffff,#da611e,left,,,,,,
ESH6.CME@RITHMIC,6764,mHVN,#ffffff,#da611e,left,,,,,,
ESH6.CME@RITHMIC,6755,mHVN,#ffffff,#da611e,left,,,,,,
ESH6.CME@RITHMIC,67014,mHVN,#ffffff,#da611e,left,,,,,,
ESH6.CME@RITHMIC,6751,mHVN,#ffffff,#da611e,left,,,,,,
ESH6.CME@RITHMIC,6709,mHVN,#ffffff,#da611e,left,,,,,,
ESH6.CME@RITHMIC,6696,mHVN,#ffffff,#da611e,left,,,,,,
ESH6.CME@RITHMIC,6692,mHVN,#ffffff,#da611e,left,,,,,,
ESH6.CME@RITHMIC,6686.5,mHVN,#ffffff,#da611e,left,,,,,,
ESH6.CME@RITHMIC,6683,mHVN,#ffffff,#da611e,left,,,,,,
ESH6.CME@RITHMIC,6454,mHVN,#ffffff,#da611e,left,,,,,,
ESH6.CME@RITHMIC,6424,mHVN,#ffffff,#da611e,left,,,,,,
ESH6.CME@RITHMIC,6410,mHVN,#ffffff,#da611e,left,,,,,,
ESH6.CME@RITHMIC,6402,mHVN,#ffffff,#da611e,left,,,,,,
