Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,Notification Enabled,Sound Notification Enabled,Notification Is Repeatable,Delay Before Repeating,Subscribing Offset,Notification Sound
ESU5.CME@TM.Pro,4600,AR,#000066,#1edaa2,left,TRUE,FALSE,,,,
ESU5.CME@TM.Pro,5554,Elvis,#000066,#1edaa2,left,TRUE,FALSE,,,,
ESU5.CME@TM.Pro,5552,Elvis,#1a0909,#1edaa2,left,TRUE,FALSE,,,,
ESU5.CME@TM.Pro,6165,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,6155,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,6150,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,6144,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,6132,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,6126,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,6122,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,6119,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,6111,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,6100,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,6100,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,6095,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,6085,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,6062,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,6052,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,6041,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,6030,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,6023,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,6015,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,6004,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,6000,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5980,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5968,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5960,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5933,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5908,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5903,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5895,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5883,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5876,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5869,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5864,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5857,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5838,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5824,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5815,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5811,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5808,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5791,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5787,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5777.5,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5772.5,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5720.5,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5630.5,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5627.5,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5446.5,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5373.75,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5365.5,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5351.5,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5343,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5336.75,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5320,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5278.25,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5231.25,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5206,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5227.75,ED Lo area,#ffffff,#1395ba,center,TRUE,FALSE,,,,
ESU5.CME@TM.Pro,5390,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5417.5,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5431,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5449,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5463.25,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5482.25,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5498.75,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5519,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5526.25,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5537.5,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5542.5,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5545.75,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5547.5,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5552.5,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5559.75,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5565,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5571.5,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5582,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5589.25,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5600,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5610,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5637.75,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5644.25,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5666.5,mHVN,#ffffff,#da611e,left,,,,,,
ESU5.CME@TM.Pro,5684.25,mHVN,#ffffff,#da611e,left,,,,,,
